gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,256,2048,ck,8,0,6.3851,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.16,82.51,0.0
gfx950,256,2,256,2048,ck,8,0,6.3404,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.33,83.5,0.0
gfx950,256,4,256,2048,ck,8,0,6.4051,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.65,83.45,0.0
gfx950,256,8,256,2048,ck,8,0,6.3893,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.31,85.26,0.0
gfx950,256,16,256,2048,ck,8,0,6.2938,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.67,89.81,0.0
gfx950,256,32,256,2048,ck,8,0,7.0084,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.79,86.5,0.0
gfx950,256,48,256,2048,ck,8,0,6.9743,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.22,92.79,0.0
gfx950,256,64,256,2048,ck,8,0,7.1113,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.44,96.77,0.0
gfx950,256,80,256,2048,ck,8,0,7.0043,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.98,104.09,0.0
gfx950,256,96,256,2048,ck,8,0,7.0362,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.31,109.44,0.0
gfx950,256,112,256,2048,ck,8,0,7.0542,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.65,114.97,0.0
gfx950,256,128,256,2048,ck,8,0,7.1067,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.89,119.88,0.0
gfx950,256,256,256,2048,ck,8,0,7.1602,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.49,164.75,0.0
gfx950,256,512,256,2048,ck,8,0,7.2546,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,74.0,252.94,0.0
gfx950,256,588,256,2048,ck,8,0,7.4906,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,82.31,270.95,0.0
gfx950,256,773,256,2048,ck,8,0,7.6717,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,105.65,326.29,0.0
gfx950,256,822,256,2048,ck,8,0,7.8333,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,110.03,335.57,0.0
gfx950,256,1024,256,2048,ck,8,0,7.7813,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,137.99,404.27,0.0
gfx950,256,1025,256,2048,ck,7,0,9.3921,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,114.44,335.21,0.0
gfx950,256,1027,256,2048,ck,7,0,9.4727,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,113.68,332.89,0.0
gfx950,256,1042,256,2048,ck,7,0,9.4206,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,115.98,338.81,0.0
gfx950,256,1051,256,2048,ck,7,0,9.3666,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,117.66,343.22,0.0
gfx950,256,1055,256,2048,ck,7,0,9.4382,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,117.21,341.71,0.0
gfx950,256,1057,256,2048,ck,7,0,9.4271,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,117.57,342.65,0.0
gfx950,256,1069,256,2048,ck,7,0,9.4817,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,118.22,343.92,0.0
