gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.0083,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb2_go_xcd4_fp4,36.7%,7.4963,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.5%,25.5046,0,0,0,5.92,94725.56,
gfx950,256,2,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.696,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb2_go_xcd4_fp4,33.7%,10.113,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.0%,30.809,0,0,0,9.8,78417.21,
gfx950,256,4,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,24.5074,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_bnt0_fp4,1.0%,16.1733,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_xcd4,0.1%,40.6807,0,0,0,14.85,59389.17,
gfx950,256,8,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,36.7394,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,23.7093,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2,0.2%,60.4487,0,0,0,19.98,39968.88,
gfx950,256,16,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,59.2444,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,36.1048,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.1%,95.3492,0,0,0,25.34,25340.68,
gfx950,256,32,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,91.6576,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,52.2434,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,2.0%,143.901,0,0,0,33.58,16792.86,
gfx950,256,64,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,120.5593,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,67.3195,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,2.0%,187.8788,0,0,0,51.44,12865.2,
gfx950,256,128,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,133.1631,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,76.3201,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_persist,0.2%,209.4832,0,0,0,92.26,11544.02,
gfx950,256,256,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,132.5957,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.8%,81.6566,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.0%,214.2523,0,0,0,180.42,11298.07,
gfx950,256,512,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,136.0079,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.8%,87.9344,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,2.0%,223.9423,0,0,0,345.22,10830.27,
gfx950,256,1024,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,140.2183,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.8%,110.2626,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,1.9%,250.4809,0,0,0,617.29,9720.48,
gfx950,256,2048,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,176.4306,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4,0.0%,175.0314,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_persist_sbm128,0.2%,351.462,0,0,0,879.86,6981.32,
gfx950,256,4096,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,264.4727,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_bnt0,0.0%,288.2653,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_sbm128,0.2%,552.738,0,0,0,1118.93,4507.41,
gfx950,256,8192,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,387.3238,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_bnt0_xcd4,0.0%,536.637,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_xcd4_persist_sbm128,0.2%,923.9608,0,0,0,1338.75,2778.16,
gfx950,256,16384,6144,512,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,605.2365,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,998.8553,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_xcd4_sbm128,0.2%,1604.0918,0,0,0,1542.24,1694.36,
gfx950,256,1,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.5056,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb4_bnt0_xcd4_fp4,18.2%,7.6534,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.0%,25.159,0,0,0,6.75,96401.87,
gfx950,256,2,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.2289,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,1.1%,12.4301,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce,0.1%,33.659,0,0,0,10.09,72057.79,
gfx950,256,4,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,24.3133,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.1%,16.7178,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2_xcd4,0.1%,41.0311,0,0,0,16.56,59111.99,
gfx950,256,8,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.7824,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,26.8637,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,1.9%,72.6461,0,0,0,18.71,33387.94,
gfx950,256,16,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,62.2244,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.8%,39.4354,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,2.0%,101.6598,0,0,0,26.74,23860.48,
gfx950,256,32,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,90.0577,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.7%,54.3755,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.1%,144.4332,0,0,0,37.64,16796.32,
gfx950,256,64,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,125.2454,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,70.3062,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.1%,195.5516,0,0,0,55.59,12408.67,
gfx950,256,128,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,132.3661,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.8%,77.6152,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_reduce_sbm32,0.1%,209.9813,0,0,0,103.55,11561.58,
gfx950,256,256,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,142.4944,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,84.5348,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2_sbm32,2.1%,227.0292,0,0,0,191.55,10703.8,
gfx950,256,512,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,146.85850000000002,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,90.0523,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,2.1%,236.9108,0,0,0,367.11,10277.26,
gfx950,256,1024,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,159.684,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3,0.0%,114.4754,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_persist,2.1%,274.1594,0,0,0,634.47,8915.36,
