cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
256,1,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,15.1895,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w2_fp4,0.8%,7.6031,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.5%,22.7926,0,0,0,5.52,141328.23,
256,2,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.0933,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,9.7959,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.6%,27.8892,0,0,0,9.02,115501.7,
256,4,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,23.609,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,15.5995,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.6%,39.2085,0,0,0,12.84,82157.56,
256,8,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,36.6305,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,22.5495,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.6%,59.18,0,0,0,17.01,54432.64,
256,16,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,56.1968,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_fp4,1.0%,33.3065,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_sbm32,0.6%,89.5033,0,0,0,22.49,35992.22,
256,32,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,91.7172,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,50.1231,flydsl_moe2_afp4_wfp4_bf16_t16x128x256_atomic_bnt2_sbm32,0.7%,141.8403,0,0,0,28.39,22713.0,
256,64,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,132.82289999999998,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,73.1348,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_persist,0.6%,205.9577,0,0,0,39.1,15644.05,
256,128,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,166.4783,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,91.5393,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_sbm32,0.6%,258.0176,0,0,0,62.42,12490.61,
256,256,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,183.803,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,100.8005,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_xcd4_sbm32,0.7%,284.6035,0,0,0,113.18,11329.34,
256,512,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,188.6386,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,106.6165,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.7%,295.2551,0,0,0,218.2,10931.28,
